db76940d-b609-4d19-ae3a-85f40717305a,Employment service specialist,Larry's Markets,2008 Mazda CX-7,AmyJLee@jourrapide.com
06ad4bfb-d6f5-4bad-a3ec-fb1171ce1042,Assembler,Tweeter,2003 Dodge Dakota,CharlesEWard@cuvox.de
12487115-d7c5-46d3-906c-e49efe0765c7,Water and liquid waste treatment plant and system operator,Giant,1996 Venturi 400,ChristinaWMasterson@cuvox.de
c2902f9a-bc83-4a6f-8910-293ac7993235,Museum director,Creative Wealth Management,1992 Mazda Eunos,DorisCSterling@teleworm.us
3037c4fe-aeb3-4d7b-9b84-846cffd30d05,Cardiology technologist,Honest Air Group,1996 Fiat Marea,BarbaraDGordon@gustr.com
7271d333-3f2e-45d6-a397-3561373171b4,Plasma cutter,Franklin Simon,2004 Bugatti EB 118,WillaDSellers@superrito.com
f54731bf-3bf8-48ef-8609-b33adf457ec0,INS agent,Prospa-Pal,2005 Pagani Zonda,DuaneJCarr@gustr.com
2c4c79d5-acd9-4d65-ae98-1357ced0332c,Data processor,Montana's Cookhouse,1999 Citroen Berlingo,DorisGSpencer@einrot.com
fc9ae3c4-0908-4e4d-8cbd-c7a53cc1498a,Administrative supervisor,"Deco Refreshments, Inc.",2007 Daihatsu Cuore,DebraRFendley@gustr.com
28d20a69-0412-4edc-882a-06d766cee35f,"Employment, recruitment, and placement specialist",Fresh Start,1998 Toyota Carina,SarahAFears@gustr.com
a8ab9057-edf2-40ae-806d-6e24c3f706a7,"Crushing, grinding, and polishing machine setter",Chatham,1996 Lancia Dedra,LonnieCCourtney@superrito.com
d2c52548-126c-4f26-8541-2cde65d88fe3,Engine and other machine assembler,J. K. Gill Company,2005 Mahindra Armada,TimothyHFreeman@rhyta.com
68f429fd-834c-4a98-aebd-76429a0a3e11,Digital image processor,Pro Star,2006 Chevrolet SSR,NikoleJCastaneda@teleworm.us
eca4a900-bef2-4318-a6e3-2a2a492069f9,Hardware engineer,Handy City,2001 Mitsubishi Magna,JohnJJones@dayrep.com
a7cd3bec-3e86-4cba-a26f-6b91aaa3bb37,Law clerk,Music Plus,2005 Beijing BJ 2021,JoeyEBergstrom@gustr.com
99dc6e16-2c4c-464f-b493-842a05e07323,Specialist,Jeans Unlimited,2004 Mercedes-Benz C,PaulCAcree@armyspy.com
84e91da5-de8a-49ea-bd18-b4f6472070bb,Emergency care nurse,Licorice Pizza,2006 Ford Bantam,AnnaBBrann@einrot.com
